pdb_filename,rmsd_init,score_init,rmsd_relax,disall,bad_contacts,bond_lenangle,g_factors,bond_lengths_highlighted,bond_lengths_off,bond_angles_highlighted,bond_angles_off,score_relax
1_3tfy_C_m7_a6.00_s1_0_-6.00_SC.pdb,0,8.424206516821847,0,0,0,0,0,0,0,0,0,-2.5552633517965027
1_4kvm_E_m9_a6.00_s1_0_-6.00_SC.pdb,0,-0.6963538110178981,0,0,0,0,0,0,0,0,0,-2.3571504651804576
1_3tfy_C_m11_a12.00_s1_0_-12.00_SC.pdb,0,2.9980592386499456,0,0,0,0,0,0,0,0,0,-2.3625981153037086
1_5icv_A_m12_a6.00_s1_0_-6.00_SC.pdb,0,2.401945432434336,0,0,0,0,0,0,0,0,0,-2.685470988060612
1_4kvm_E_m10_a12.00_s1_0_-12.00_SC.pdb,0,3.5004998484331677,0,0,0,0,0,0,0,0,0,-2.2310386903414674
1_5k18_B_m10_a9.00_s1_1_9.00_SC.pdb,0,1.4926914803945421,0,0,0,0,0,0,0,0,0,-2.0017419397184057
1_5k18_B_m11_a0.00_s1_0_0.00_SC.pdb,0,2.2965802771026396,0,0,0,0,0,0,0,0,0,-2.092698346311233
1_5hh0_A_m8_a18.00_s1_0_-18.00_SC.pdb,0,8.72486447349386,0,0,0,0,0,0,0,0,0,-1.5188331943555513
1_5icv_A_m12_a12.00_s1_0_-12.00_SC.pdb,0,-0.6358218176790774,0,0,0,0,0,0,0,0,0,-2.5232298320128486
1_5k18_B_m8_a15.00_s1_0_-15.00_SC.pdb,0,2.2957919531856135,0,0,0,0,0,0,0,0,0,-1.8370905058379625
1_5hh0_A_m9_a3.00_s1_1_3.00_SC.pdb,0,1.0045938980480285,0,0,0,0,0,0,0,0,0,-1.5507966743653185
1_5hh0_A_m7_a18.00_s1_0_-18.00_SC.pdb,0,-0.654242482729346,0,0,0,0,0,0,0,0,0,0.28476610765384464
1_5wjd_A_m7_a6.00_s1_1_6.00_SC.pdb,0,14.33675728850384,0,0,0,0,0,0,0,0,0,-2.5464035574292567
1_4kvm_E_m8_a15.00_s1_0_-15.00_SC.pdb,0,17.371692451084265,0,0,0,0,0,0,0,0,0,-1.9755472816664
1_5icv_A_m7_a15.00_s1_0_-15.00_SC.pdb,0,1.0780789110650204,0,0,0,0,0,0,0,0,0,-2.5469244759032166
1_5hh0_A_m12_a6.00_s1_0_-6.00_SC.pdb,0,-0.5253426733430634,0,0,0,0,0,0,0,0,0,-2.3073769189529387
1_3tfy_C_m8_a15.00_s1_0_-15.00_SC.pdb,0,2.262118800797398,0,0,0,0,0,0,0,0,0,-2.2388350502879155
1_4kvm_E_m8_a15.00_s1_1_15.00_SC.pdb,0,6.392857891861773,0,0,0,0,0,0,0,0,0,-2.069450780899333
1_5icv_A_m10_a9.00_s1_1_9.00_SC.pdb,0,3.956562896951898,0,0,0,0,0,0,0,0,0,-2.665282024844077
1_5k18_B_m11_a6.00_s1_0_-6.00_SC.pdb,0,1.548653055672107,0,0,0,0,0,0,0,0,0,-2.0504545996013523
1_5k18_B_m10_a18.00_s1_0_-18.00_SC.pdb,0,0.8611162386349248,0,0,0,0,0,0,0,0,0,-1.5595232955640739
1_5wjd_A_m9_a3.00_s1_0_-3.00_SC.pdb,0,18.316148216813293,0,0,0,0,0,0,0,0,0,-2.6206050457681034
1_4kvm_E_m10_a3.00_s1_1_3.00_SC.pdb,0,3.8929687317004706,0,0,0,0,0,0,0,0,0,-2.298182978459943
1_5k18_B_m10_a9.00_s1_0_-9.00_SC.pdb,0,2.5942725843153456,0,0,0,0,0,0,0,0,0,-2.0018549862577055
1_5wjd_A_m12_a9.00_s1_0_-9.00_SC.pdb,0,11.270911236365068,0,0,0,0,0,0,0,0,0,-2.523623289105736
1_3tfy_C_m7_a15.00_s1_0_-15.00_SC.pdb,0,8.811637882628673,0,0,0,0,0,0,0,0,0,-2.2957525098011717
1_5k18_B_m12_a12.00_s1_0_-12.00_SC.pdb,0,1.502832237483776,0,0,0,0,0,0,0,0,0,-1.801923942287953
1_3tfy_C_m12_a15.00_s1_0_-15.00_SC.pdb,0,4.896185000354524,0,0,0,0,0,0,0,0,0,-2.168041798114033
1_5wjd_A_m9_a6.00_s1_1_6.00_SC.pdb,0,2.924957049036955,0,0,0,0,0,0,0,0,0,-2.611490144586977
1_3tfy_C_m11_a9.00_s1_0_-9.00_SC.pdb,0,4.579128622173641,0,0,0,0,0,0,0,0,0,-2.4923783845361083
1_5icv_A_m7_a15.00_s1_1_15.00_SC.pdb,0,4.009584871627379,0,0,0,0,0,0,0,0,0,-2.4705833261416155
1_4kvm_E_m7_a9.00_s1_0_-9.00_SC.pdb,0,1.3534570716336092,0,0,0,0,0,0,0,0,0,-2.3015681416026297
1_5hh0_A_m8_a3.00_s1_0_-3.00_SC.pdb,0,2.466244175237477,0,0,0,0,0,0,0,0,0,-0.8827378550206532
1_5icv_A_m11_a0.00_s1_0_0.00_SC.pdb,0,1.9676404552750268,0,0,0,0,0,0,0,0,0,-2.763189365682772
1_5k18_B_m12_a0.00_s1_0_0.00_SC.pdb,0,4.932567592564377,0,0,0,0,0,0,0,0,0,-2.0495005486244473
1_5hh0_A_m7_a9.00_s1_1_9.00_SC.pdb,0,1.4415414202902501,0,0,0,0,0,0,0,0,0,0.0127938505924068
1_5hh0_A_m12_a15.00_s1_1_15.00_SC.pdb,0,2.370978715864313,0,0,0,0,0,0,0,0,0,-1.9832778499401154
1_5hh0_A_m10_a12.00_s1_1_12.00_SC.pdb,0,2.3171040699322383,0,0,0,0,0,0,0,0,0,-2.2085043082840445
1_5wjd_A_m7_a18.00_s1_1_18.00_SC.pdb,0,0.6407838632363588,0,0,0,0,0,0,0,0,0,-2.225017111901041
1_5icv_A_m9_a6.00_s1_1_6.00_SC.pdb,0,1.207444419978442,0,0,0,0,0,0,0,0,0,-2.705307416376524
1_5k18_B_m9_a6.00_s1_0_-6.00_SC.pdb,0,2.7463910378633325,0,0,0,0,0,0,0,0,0,-1.970885641978303
1_5hh0_A_m7_a15.00_s1_1_15.00_SC.pdb,0,2.7697330349733873,0,0,0,0,0,0,0,0,0,-0.0117144570975611
1_4kvm_E_m9_a18.00_s1_0_-18.00_SC.pdb,0,1.548653055672107,0,0,0,0,0,0,0,0,0,-2.037353090968429
1_5hh0_A_m7_a3.00_s1_1_3.00_SC.pdb,0,30.152104657675746,0,0,0,0,0,0,0,0,0,0.006877750137499191
1_5icv_A_m12_a0.00_s1_0_0.00_SC.pdb,0,0.6785418129964778,0,0,0,0,0,0,0,0,0,-2.7705355553050315
1_5hh0_A_m9_a9.00_s1_1_9.00_SC.pdb,0,10.872511238580026,0,0,0,0,0,0,0,0,0,-1.5572038184789099
1_5k18_B_m12_a12.00_s1_1_12.00_SC.pdb,0,1.2648723359491638,0,0,0,0,0,0,0,0,0,-1.8068133297812972
1_5hh0_A_m10_a3.00_s1_0_-3.00_SC.pdb,0,2.4893774734764356,0,0,0,0,0,0,0,0,0,-2.183207802700384
1_4kvm_E_m11_a0.00_s1_0_0.00_SC.pdb,0,0.14586403622242217,0,0,0,0,0,0,0,0,0,-2.3132629799658964
1_5icv_A_m10_a18.00_s1_0_-18.00_SC.pdb,0,17.29083765540259,0,0,0,0,0,0,0,0,0,-2.2013306035879134
1_4kvm_E_m9_a6.00_s1_1_6.00_SC.pdb,0,15.274758151326006,0,0,0,0,0,0,0,0,0,-2.3040252294948464
1_5icv_A_m10_a3.00_s1_0_-3.00_SC.pdb,0,2.071241563138781,0,0,0,0,0,0,0,0,0,-2.733410292424957
1_4kvm_E_m11_a3.00_s1_0_-3.00_SC.pdb,0,7.1962711433643,0,0,0,0,0,0,0,0,0,-2.3527087371461386
1_5icv_A_m10_a3.00_s1_1_3.00_SC.pdb,0,2.2965802771026396,0,0,0,0,0,0,0,0,0,-2.7489670093745997
1_5k18_B_m9_a18.00_s1_0_-18.00_SC.pdb,0,-0.9367742948169475,0,0,0,0,0,0,0,0,0,-1.6218536058406563
1_5wjd_A_m12_a12.00_s1_0_-12.00_SC.pdb,0,1.4011670009946835,0,0,0,0,0,0,0,0,0,-2.416237733263088
1_3tfy_C_m12_a6.00_s1_1_6.00_SC.pdb,0,2.430106909138625,0,0,0,0,0,0,0,0,0,-2.616133061749358
1_5hh0_A_m9_a12.00_s1_1_12.00_SC.pdb,0,8.491158669438985,0,0,0,0,0,0,0,0,0,-1.4937739242246477
1_4kvm_E_m12_a12.00_s1_1_12.00_SC.pdb,0,9.492049933770373,0,0,0,0,0,0,0,0,0,-1.904757691745556
1_5wjd_A_m10_a18.00_s1_0_-18.00_SC.pdb,0,1.1284274878703722,0,0,0,0,0,0,0,0,0,-1.3226848512866276
1_5hh0_A_m11_a9.00_s1_1_9.00_SC.pdb,0,27.74416323884755,0,0,0,0,0,0,0,0,0,-2.3272674102597883
1_5icv_A_m9_a12.00_s1_1_12.00_SC.pdb,0,11.450485728139762,0,0,0,0,0,0,0,0,0,-2.560890601870321
1_5wjd_A_m12_a15.00_s1_1_15.00_SC.pdb,0,15.8282463099556,0,0,0,0,0,0,0,0,0,-2.1401189454335046
1_5wjd_A_m8_a18.00_s1_0_-18.00_SC.pdb,0,1.9174940349768244,0,0,0,0,0,0,0,0,0,-2.250021234921015
1_5wjd_A_m11_a18.00_s1_1_18.00_SC.pdb,0,6.391224027103708,0,0,0,0,0,0,0,0,0,-2.09988053925973
1_5k18_B_m10_a3.00_s1_1_3.00_SC.pdb,0,2.134038666235589,0,0,0,0,0,0,0,0,0,-2.0483643085615646
1_4kvm_E_m7_a15.00_s1_0_-15.00_SC.pdb,0,5.558650902117064,0,0,0,0,0,0,0,0,0,-2.203806267216606
1_4kvm_E_m7_a18.00_s1_1_18.00_SC.pdb,0,13.021716208257454,0,0,0,0,0,0,0,0,0,-1.9438130284287214
1_3tfy_C_m10_a6.00_s1_0_-6.00_SC.pdb,0,3.381689332720299,0,0,0,0,0,0,0,0,0,-2.530239078609884
1_3tfy_C_m9_a9.00_s1_0_-9.00_SC.pdb,0,2.0975022176974973,0,0,0,0,0,0,0,0,0,-2.4917316647136465
1_3tfy_C_m12_a3.00_s1_0_-3.00_SC.pdb,0,2.960827602155761,0,0,0,0,0,0,0,0,0,-2.569120323211258
1_3tfy_C_m8_a6.00_s1_0_-6.00_SC.pdb,0,7.553800035964147,0,0,0,0,0,0,0,0,0,-2.5600825784635775
1_5hh0_A_m11_a3.00_s1_1_3.00_SC.pdb,0,3.7522701097544027,0,0,0,0,0,0,0,0,0,-2.2908323709248486
1_5icv_A_m9_a6.00_s1_0_-6.00_SC.pdb,0,11.199877255504042,0,0,0,0,0,0,0,0,0,-2.7568063232953732
1_5hh0_A_m10_a0.00_s1_0_0.00_SC.pdb,0,1.6792829682037242,0,0,0,0,0,0,0,0,0,-2.48750910105079
1_5hh0_A_m7_a3.00_s1_0_-3.00_SC.pdb,0,2.379338716206838,0,0,0,0,0,0,0,0,0,-0.18657128139310866
1_5k18_B_m7_a15.00_s1_0_-15.00_SC.pdb,0,3.360095509414998,0,0,0,0,0,0,0,0,0,-1.9149966262981561
1_4kvm_E_m7_a6.00_s1_1_6.00_SC.pdb,0,1.8236929353228652,0,0,0,0,0,0,0,0,0,-2.2232270881456477
1_3tfy_C_m10_a15.00_s1_1_15.00_SC.pdb,0,-0.9842265868770473,0,0,0,0,0,0,0,0,0,-2.140885383644139
1_5hh0_A_m8_a18.00_s1_1_18.00_SC.pdb,0,7.129445194987651,0,0,0,0,0,0,0,0,0,-1.0895301520946221
1_4kvm_E_m8_a9.00_s1_0_-9.00_SC.pdb,0,-0.7590325219129597,0,0,0,0,0,0,0,0,0,-2.237387120640013
1_5hh0_A_m11_a18.00_s1_1_18.00_SC.pdb,0,22.23247974560222,0,0,0,0,0,0,0,0,0,-2.0744094300819196
1_5wjd_A_m10_a12.00_s1_1_12.00_SC.pdb,0,4.361344569192754,0,0,0,0,0,0,0,0,0,-1.9219323430442885
1_5k18_B_m9_a18.00_s1_1_18.00_SC.pdb,0,-0.8510791597410763,0,0,0,0,0,0,0,0,0,-1.721552130302951
1_3tfy_C_m8_a6.00_s1_1_6.00_SC.pdb,0,1.4470560816793758,0,0,0,0,0,0,0,0,0,-2.522804629442992
1_5k18_B_m8_a0.00_s1_0_0.00_SC.pdb,0,27.188399000142113,0,0,0,0,0,0,0,0,0,-2.0808703619335813
1_5icv_A_m8_a9.00_s1_0_-9.00_SC.pdb,0,1.6467546585182706,0,0,0,0,0,0,0,0,0,-2.6614114873242425
1_5hh0_A_m12_a3.00_s1_1_3.00_SC.pdb,0,1.358826301223847,0,0,0,0,0,0,0,0,0,-2.3149482018578222
1_5k18_B_m9_a9.00_s1_1_9.00_SC.pdb,0,-0.7738396605766961,0,0,0,0,0,0,0,0,0,-1.9555106527283992
1_5wjd_A_m11_a3.00_s1_0_-3.00_SC.pdb,0,3.927702925695265,0,0,0,0,0,0,0,0,0,-2.576433736573753
1_5icv_A_m8_a18.00_s1_1_18.00_SC.pdb,0,3.0608596438690645,0,0,0,0,0,0,0,0,0,-2.2151985886119103
1_5icv_A_m10_a15.00_s1_1_15.00_SC.pdb,0,1.548653055672107,0,0,0,0,0,0,0,0,0,-2.434190343809044
1_5hh0_A_m10_a15.00_s1_0_-15.00_SC.pdb,0,-0.3163744544573372,0,0,0,0,0,0,0,0,0,-2.085872418212078
1_5k18_B_m8_a9.00_s1_0_-9.00_SC.pdb,0,10.866120956392047,0,0,0,0,0,0,0,0,0,-1.952023361173221
1_5k18_B_m7_a3.00_s1_1_3.00_SC.pdb,0,2.5005649563747108,0,0,0,0,0,0,0,0,0,-1.9095056366642624
1_5k18_B_m7_a9.00_s1_1_9.00_SC.pdb,0,2.3750935085740807,0,0,0,0,0,0,0,0,0,-1.8888402493801348
1_5hh0_A_m11_a0.00_s1_0_0.00_SC.pdb,0,4.762030254869023,0,0,0,0,0,0,0,0,0,-2.5018513520199996
1_5k18_B_m7_a15.00_s1_1_15.00_SC.pdb,0,5.704335810839888,0,0,0,0,0,0,0,0,0,-1.77869341279168
1_5k18_B_m8_a9.00_s1_1_9.00_SC.pdb,0,9.248118626722372,0,0,0,0,0,0,0,0,0,-1.9703959823805577
1_3tfy_C_m12_a12.00_s1_1_12.00_SC.pdb,0,2.9876541425324943,0,0,0,0,0,0,0,0,0,-2.343213097207482
1_4kvm_E_m8_a3.00_s1_0_-3.00_SC.pdb,0,1.4706175786645268,0,0,0,0,0,0,0,0,0,-2.2545266943028164
1_5hh0_A_m9_a18.00_s1_1_18.00_SC.pdb,0,5.1673332302665465,0,0,0,0,0,0,0,0,0,-1.2648016515397331
1_5k18_B_m12_a9.00_s1_1_9.00_SC.pdb,0,34.48965544253425,0,0,0,0,0,0,0,0,0,-1.8811848161954017
1_5k18_B_m11_a15.00_s1_0_-15.00_SC.pdb,0,1.8384733553637076,0,0,0,0,0,0,0,0,0,-1.7989540508233877
1_5wjd_A_m9_a15.00_s1_1_15.00_SC.pdb,0,5.026388763532232,0,0,0,0,0,0,0,0,0,-2.0927169880195846
1_5wjd_A_m11_a12.00_s1_1_12.00_SC.pdb,0,7.33970080869776,0,0,0,0,0,0,0,0,0,-2.3878220716488943
1_5wjd_A_m11_a9.00_s1_0_-9.00_SC.pdb,0,5.928478058191874,0,0,0,0,0,0,0,0,0,-2.402435234652198
1_3tfy_C_m9_a18.00_s1_0_-18.00_SC.pdb,0,4.144391109839385,0,0,0,0,0,0,0,0,0,-1.969516122508573
1_4kvm_E_m12_a3.00_s1_0_-3.00_SC.pdb,0,7.5981672604962105,0,0,0,0,0,0,0,0,0,-2.338803709962349
1_3tfy_C_m10_a6.00_s1_1_6.00_SC.pdb,0,16.865128843833226,0,0,0,0,0,0,0,0,0,-2.532073615320828
1_5icv_A_m11_a15.00_s1_0_-15.00_SC.pdb,0,1.548653055672107,0,0,0,0,0,0,0,0,0,-2.3896672960414564
1_5k18_B_m8_a3.00_s1_1_3.00_SC.pdb,0,1.988275116630819,0,0,0,0,0,0,0,0,0,-1.9428799972871218
1_5wjd_A_m12_a18.00_s1_0_-18.00_SC.pdb,0,1.46518567807119,0,0,0,0,0,0,0,0,0,-2.0619617063022475
1_5wjd_A_m11_a6.00_s1_1_6.00_SC.pdb,0,18.92727312988718,0,0,0,0,0,0,0,0,0,-2.5903994578438296
1_5hh0_A_m11_a12.00_s1_0_-12.00_SC.pdb,0,0.5691825214793088,0,0,0,0,0,0,0,0,0,-2.2536778127268455
1_5wjd_A_m12_a6.00_s1_1_6.00_SC.pdb,0,5.607831093103007,0,0,0,0,0,0,0,0,0,-2.545229700686424
1_5icv_A_m9_a18.00_s1_1_18.00_SC.pdb,0,1.760947599297543,0,0,0,0,0,0,0,0,0,-2.247528483477633
1_5k18_B_m8_a3.00_s1_0_-3.00_SC.pdb,0,0.31874230996521125,0,0,0,0,0,0,0,0,0,-1.9088198922763389
1_4kvm_E_m7_a12.00_s1_1_12.00_SC.pdb,0,4.2330984856058125,0,0,0,0,0,0,0,0,0,-2.196542586590729
1_4kvm_E_m10_a6.00_s1_0_-6.00_SC.pdb,0,6.630820335748937,0,0,0,0,0,0,0,0,0,-2.3940639006300173
1_5hh0_A_m8_a12.00_s1_1_12.00_SC.pdb,0,-0.9842265868770473,0,0,0,0,0,0,0,0,0,-1.053970556455941
1_5wjd_A_m10_a12.00_s1_0_-12.00_SC.pdb,0,2.603477431500224,0,0,0,0,0,0,0,0,0,-2.160920660530984
1_3tfy_C_m12_a18.00_s1_1_18.00_SC.pdb,0,16.172288190494413,0,0,0,0,0,0,0,0,0,-1.9386572371213853
1_5hh0_A_m7_a9.00_s1_0_-9.00_SC.pdb,0,-0.4114542777045725,0,0,0,0,0,0,0,0,0,-0.16897133786441512
1_3tfy_C_m7_a18.00_s1_1_18.00_SC.pdb,0,4.258264782263282,0,0,0,0,0,0,0,0,0,-2.0790683641087484
1_5k18_B_m7_a0.00_s1_0_0.00_SC.pdb,0,2.1810605944305417,0,0,0,0,0,0,0,0,0,-2.0883710894427745
1_3tfy_C_m12_a9.00_s1_0_-9.00_SC.pdb,0,1.326473416968962,0,0,0,0,0,0,0,0,0,-2.3812572277948294
1_5hh0_A_m8_a12.00_s1_0_-12.00_SC.pdb,0,3.419402085234942,0,0,0,0,0,0,0,0,0,0.15188262069149583
1_5hh0_A_m9_a6.00_s1_0_-6.00_SC.pdb,0,0.3505770718690691,0,0,0,0,0,0,0,0,0,-1.5806413255968323
1_5icv_A_m8_a12.00_s1_1_12.00_SC.pdb,0,2.7494664316112436,0,0,0,0,0,0,0,0,0,-2.561431686887887
1_5icv_A_m11_a15.00_s1_1_15.00_SC.pdb,0,12.99852131460581,0,0,0,0,0,0,0,0,0,-2.3710123200067152
1_5k18_B_m9_a12.00_s1_1_12.00_SC.pdb,0,19.649130838870796,0,0,0,0,0,0,0,0,0,-1.9235054722349991
1_5k18_B_m11_a9.00_s1_1_9.00_SC.pdb,0,3.8811452983981396,0,0,0,0,0,0,0,0,0,-2.0142087086474336
1_5icv_A_m8_a3.00_s1_0_-3.00_SC.pdb,0,3.2004016998469385,0,0,0,0,0,0,0,0,0,-2.6870637190383246
1_5hh0_A_m10_a9.00_s1_1_9.00_SC.pdb,0,5.087774058723246,0,0,0,0,0,0,0,0,0,-2.2314263049018956
1_5icv_A_m12_a18.00_s1_1_18.00_SC.pdb,0,5.168173940794176,0,0,0,0,0,0,0,0,0,-2.1244115068578195
1_5hh0_A_m12_a15.00_s1_0_-15.00_SC.pdb,0,11.869688401750894,0,0,0,0,0,0,0,0,0,-1.998165743141805
1_5wjd_A_m10_a18.00_s1_1_18.00_SC.pdb,0,9.557346239128831,0,0,0,0,0,0,0,0,0,-1.6558799697855795
1_3tfy_C_m11_a15.00_s1_1_15.00_SC.pdb,0,1.1827114123908975,0,0,0,0,0,0,0,0,0,-2.2050218018458954
1_4kvm_E_m9_a12.00_s1_0_-12.00_SC.pdb,0,3.213866549309156,0,0,0,0,0,0,0,0,0,-2.2187967594035483
1_3tfy_C_m9_a6.00_s1_1_6.00_SC.pdb,0,0.3067917328646274,0,0,0,0,0,0,0,0,0,-2.5593036469506143
1_5k18_B_m7_a3.00_s1_0_-3.00_SC.pdb,0,-0.8894092640849595,0,0,0,0,0,0,0,0,0,-1.9976356392935648
1_5k18_B_m10_a12.00_s1_0_-12.00_SC.pdb,0,21.224576061955016,0,0,0,0,0,0,0,0,0,-1.8230911188633074
1_5k18_B_m9_a12.00_s1_0_-12.00_SC.pdb,0,2.2965802771026396,0,0,0,0,0,0,0,0,0,-1.889907174751664
1_5icv_A_m11_a6.00_s1_0_-6.00_SC.pdb,0,2.1255962257319228,0,0,0,0,0,0,0,0,0,-2.706740220531668
1_4kvm_E_m12_a3.00_s1_1_3.00_SC.pdb,0,2.6203441557997538,0,0,0,0,0,0,0,0,0,-2.2895680214108327
1_4kvm_E_m11_a15.00_s1_0_-15.00_SC.pdb,0,6.591271845519871,0,0,0,0,0,0,0,0,0,-2.1131233619810605
1_5k18_B_m8_a18.00_s1_1_18.00_SC.pdb,0,1.548653055672107,0,0,0,0,0,0,0,0,0,-1.7075595787001179
1_5hh0_A_m11_a6.00_s1_0_-6.00_SC.pdb,0,-0.31272413370576424,0,0,0,0,0,0,0,0,0,-2.2542633514333854
1_3tfy_C_m8_a15.00_s1_1_15.00_SC.pdb,0,0.03133640488474586,0,0,0,0,0,0,0,0,0,-2.1919419416232495
1_3tfy_C_m10_a15.00_s1_0_-15.00_SC.pdb,0,1.2278929124582427,0,0,0,0,0,0,0,0,0,-2.1012552376184344
1_3tfy_C_m9_a12.00_s1_0_-12.00_SC.pdb,0,0.5691825214793088,0,0,0,0,0,0,0,0,0,-2.3663231010105856
1_5icv_A_m12_a18.00_s1_0_-18.00_SC.pdb,0,2.5576426524806144,0,0,0,0,0,0,0,0,0,-2.218081916716275
1_5hh0_A_m10_a3.00_s1_1_3.00_SC.pdb,0,42.14747385631349,0,0,0,0,0,0,0,0,0,-1.6994903812422726
1_3tfy_C_m11_a3.00_s1_0_-3.00_SC.pdb,0,2.8952694521619495,0,0,0,0,0,0,0,0,0,-2.580051591949283
1_5icv_A_m11_a9.00_s1_1_9.00_SC.pdb,0,7.655663715413877,0,0,0,0,0,0,0,0,0,-2.6318052020896014
1_5k18_B_m10_a3.00_s1_0_-3.00_SC.pdb,0,0.3133723784238017,0,0,0,0,0,0,0,0,0,-2.037124968399969
1_5k18_B_m9_a0.00_s1_0_0.00_SC.pdb,0,1.2799510943325987,0,0,0,0,0,0,0,0,0,-2.072534213244235
1_5hh0_A_m10_a18.00_s1_1_18.00_SC.pdb,0,0.11027439032473745,0,0,0,0,0,0,0,0,0,-1.9753404939908696
1_5wjd_A_m8_a12.00_s1_0_-12.00_SC.pdb,0,3.5186371731362605,0,0,0,0,0,0,0,0,0,-2.46219279341991
1_3tfy_C_m7_a6.00_s1_1_6.00_SC.pdb,0,22.635702681012617,0,0,0,0,0,0,0,0,0,-2.4454536422822577
1_5wjd_A_m8_a6.00_s1_1_6.00_SC.pdb,0,1.548653055672107,0,0,0,0,0,0,0,0,0,-2.640719114114385
1_5k18_B_m12_a3.00_s1_1_3.00_SC.pdb,0,0.5369595936754176,0,0,0,0,0,0,0,0,0,-2.016309808683281
1_5hh0_A_m8_a3.00_s1_1_3.00_SC.pdb,0,-0.7445046209643645,0,0,0,0,0,0,0,0,0,-0.7412179849043833
1_5icv_A_m10_a12.00_s1_0_-12.00_SC.pdb,0,17.82940812693481,0,0,0,0,0,0,0,0,0,-2.505733614983399
1_5icv_A_m11_a3.00_s1_1_3.00_SC.pdb,0,1.2690158737189883,0,0,0,0,0,0,0,0,0,-2.7610234216337446
1_4kvm_E_m7_a3.00_s1_0_-3.00_SC.pdb,0,-0.7808413212317651,0,0,0,0,0,0,0,0,0,-2.205232426518227
